product_id,product_name,brand,price,original_price,discount_percentage,discount_amount,rating,ratings_count,reviews_count,display_size,display_type,screen_resolution,battery_life,battery_capacity,water_resistance,bluetooth_version,compatibility,heart_rate_monitor,blood_oxygen_monitor,sports_modes,gps,bluetooth_calling,strap_material,strap_color,weight,warranty,availability,charging_time,stress_monitor,nfc_payments,camera_control,voice_assistant,case_material,dimensions,launch_date,battery_life_days,review_ratio
sw10000,realme techlife plus voice assistant,realme,2950.0,4013,26,1063,4.6,26670,3139,1.2,tft,388x387 pixels,18 days,200.0,3atm,5.0,android,False,0,89,False,False,leather,red,70.0,2 year,in stock,2 hours,1,0,0,1,fiber,44x35x10 mm,2024-02-01,18.0,0.11769778777652794
sw10001,ambrane stride ultra music control,ambrane,3740.0,6120,38,2380,4.1,6425,3552,1.3,lcd,328x437 pixels,14 days,583.0,3atm,5.0,android  ios,False,0,89,False,False,polycarbonate,pink,77.0,1 year,in stock,2 hours,0,0,0,0,metal,50x40x15 mm,2022-10-01,14.0,0.55284046692607
sw10002,sonata smart max heart rate monitor,sonata,1249.0,1456,14,207,4.8,41399,19002,1.3,lcd,344x339 pixels,13 days,551.0,3atm,5.0,android  ios,False,0,71,False,False,metal,green,73.0,2 year,out of stock,1 hours,0,0,1,1,metal,40x43x10 mm,2022-09-01,13.0,0.45899659412063093
sw10003,huami amazfit gts pro heart rate monitor,huami,3707.0,4649,20,942,3.9,16276,7043,1.4,tft,441x372 pixels,19 days,474.0,ip68,5.0,ios,False,1,91,False,False,metal,gold,75.0,2 year,in stock,2 hours,0,0,1,0,plastic,42x38x14 mm,2023-10-01,19.0,0.4327230277709511
sw10004,boat xtend 2 camera control,boat,3406.0,5349,36,1943,4.3,22945,16792,1.4,lcd,418x344 pixels,21 days,244.0,ip67,5.0,ios,False,0,67,False,False,nylon,black,74.0,1 year,out of stock,2 hours,1,0,1,0,fiber,40x40x10 mm,2024-05-01,21.0,0.7318370015253868
sw10005,crossbeats elevate max spo2 monitor,crossbeats,8782.0,13756,36,4974,3.9,18087,10098,1.6,amoled,399x381 pixels,7 days,268.0,water resistant,5.2,android,False,0,85,False,False,tpu,black,75.0,2 year,out of stock,1 hours,1,0,1,0,fiber,44x42x10 mm,2022-01-01,7.0,0.5583015425443689
sw10006,fastrack reflex pro heart rate monitor,fastrack,2992.0,4261,29,1269,4.2,32094,1492,1.3,tft,425x421 pixels,19 days,428.0,3atm,5.0,ios,False,1,73,False,False,silicone,red,31.0,1 year,out of stock,1 hours,1,0,0,1,fiber,48x35x12 mm,2024-05-01,19.0,0.04648844020689225
sw10007,boult bolt sports modes,boult,5230.0,8920,41,3690,4.6,42366,17470,1.2,lcd,353x438 pixels,18 days,386.0,5atm,5.0,ios,False,1,86,False,False,nylon,gold,69.0,2 year,out of stock,3 hours,1,0,0,0,metal,46x36x12 mm,2023-05-01,18.0,0.4123589670962564
sw10008,sonata essence 2 bluetooth calling,sonata,3272.0,3960,17,688,3.9,33757,9183,1.3,lcd,439x363 pixels,14 days,577.0,ip68,5.0,android,False,1,96,False,False,polycarbonate,gold,53.0,1 year,out of stock,2 hours,0,0,1,0,metal,49x43x10 mm,2023-09-01,14.0,0.2720324673401072
sw10009,oneplus watch pro water resistance,oneplus,6534.0,8460,22,1926,3.8,44620,15696,1.3,tft,359x445 pixels,16 days,586.0,5atm,5.0,android,False,1,89,False,False,metal,green,44.0,1 year,in stock,3 hours,1,0,0,1,metal,50x43x11 mm,2024-11-01,16.0,0.3517705064993277
