product_id,product_name,brand,price,original_price,discount_percentage,discount_amount,rating,ratings_count,reviews_count,display_size,display_type,screen_resolution,battery_life,battery_capacity,water_resistance,bluetooth_version,compatibility,heart_rate_monitor,blood_oxygen_monitor,sleep_tracker,sports_modes,gps,bluetooth_calling,strap_material,strap_color,weight,warranty,availability,scraped_at,touch_screen,charging_time,stress_monitor,step_counter,calorie_tracker,nfc_payments,music_control,camera_control,voice_assistant,notifications,reminders,case_material,dimensions,in_the_box,launch_date,source
SW10000,Realme TechLife Plus Voice Assistant,Realme,2950,4013,26,1063,4.6,26670,3139,"1.2""",TFT,388x387 pixels,18 days,200 mAh,3ATM,5.0,Android,No,No,Yes,89,No,Yes,Leather,Red,70 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,44x35x10 mm,"Smartwatch, Charging Cable, User Manual",2/2024,Flipkart
SW10001,Ambrane Stride Ultra Music Control,Ambrane,3740,6120,38,2380,4.1,6425,3552,"1.3""",LCD,328x437 pixels,14 days,583 mAh,3ATM,5.0,Android & iOS,No,No,Yes,89,No,No,Polycarbonate,Pink,77 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,50x40x15 mm,"Smartwatch, Charging Cable, User Manual",10/2022,Flipkart
SW10002,Sonata Smart Max Heart Rate Monitor,Sonata,1249,1456,14,207,4.8,41399,19002,"1.3""",LCD,344x339 pixels,13 days,551 mAh,3ATM,5.0,Android & iOS,No,No,Yes,71,No,No,Metal,Green,73 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Metal,40x43x10 mm,"Smartwatch, Charging Cable, User Manual",9/2022,Flipkart
SW10003,Huami Amazfit GTS Pro Heart Rate Monitor,Huami,3707,4649,20,942,3.9,16276,7043,"1.4""",TFT,441x372 pixels,19 days,474 mAh,IP68,5.0,iOS,Yes,Yes,Yes,91,No,Yes,Metal,Gold,75 grams,2 year,In Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Plastic,42x38x14 mm,"Smartwatch, Charging Cable, User Manual",10/2023,Flipkart
SW10004,boAt Xtend 2 Camera Control,boAt,3406,5349,36,1943,4.3,22945,16792,"1.4""",LCD,418x344 pixels,21 days,244 mAh,IP67,5.0,iOS,No,No,Yes,67,No,No,Nylon,Black,74 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,40x40x10 mm,"Smartwatch, Charging Cable, User Manual",5/2024,Flipkart
SW10005,CrossBeats Elevate Max SpO2 Monitor,CrossBeats,8782,13756,36,4974,3.9,18087,10098,"1.6""",AMOLED,399x381 pixels,7 days,268 mAh,Water Resistant,5.2,Android,Yes,No,Yes,85,Yes,Yes,TPU,Black,75 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber,44x42x10 mm,"Smartwatch, Charging Cable, User Manual",1/2022,Flipkart
SW10006,Fastrack Reflex Pro Heart Rate Monitor,Fastrack,2992,4261,29,1269,4.2,32094,1492,"1.3""",TFT,425x421 pixels,19 days,428 mAh,3ATM,5.0,iOS,No,Yes,Yes,73,No,Yes,Silicone,Red,31 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,1 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber,48x35x12 mm,"Smartwatch, Charging Cable, User Manual",5/2024,Flipkart
SW10007,Boult Bolt Sports Modes,Boult,5230,8920,41,3690,4.6,42366,17470,"1.2""",LCD,353x438 pixels,18 days,386 mAh,5ATM,5.0,iOS,Yes,Yes,Yes,86,No,No,Nylon,Gold,69 grams,2 year,Out of Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Metal,46x36x12 mm,"Smartwatch, Charging Cable, User Manual",5/2023,Flipkart
SW10008,Sonata Essence 2 Bluetooth Calling,Sonata,3272,3960,17,688,3.9,33757,9183,"1.3""",LCD,439x363 pixels,14 days,577 mAh,IP68,5.0,Android,No,Yes,Yes,96,No,Yes,Polycarbonate,Gold,53 grams,1 year,Out of Stock,2025-10-09 23:34:07,Yes,2 hours,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Metal,49x43x10 mm,"Smartwatch, Charging Cable, User Manual",9/2023,Flipkart
SW10009,OnePlus Watch Pro Water Resistance,OnePlus,6534,8460,22,1926,3.8,44620,15696,"1.3""",TFT,359x445 pixels,16 days,586 mAh,5ATM,5.0,Android,No,Yes,Yes,89,No,Yes,Metal,Green,44 grams,1 year,In Stock,2025-10-09 23:34:07,Yes,3 hours,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Metal,50x43x11 mm,"Smartwatch, Charging Cable, User Manual",11/2024,Flipkart
